"ScrapeDatetime","Year","Country","Goods","ExportWeightTon","ExportValueKUSD","ImportWeightTon","ImportValueKUSD","BalanceOfTradeKUSD"
"2025-01-06 02:45","2024","Afghanistan","Edible fruit and nuts; peel of citrus fruit or melons","                   0.0","                   0","                   0.0","                   0","                  -0"
"2025-01-06 02:45","2024","Afghanistan","Coffee, tea, mate and spices","                   0.0","                   0","                   0.0","                   8","                  -8"
"2025-01-06 02:45","2024","Afghanistan","Cereals","               4,896.0","               1,351","                   0.0","                   0","               1,351"
"2025-01-06 02:45","2024","Afghanistan","Sugars and sugar confectionery","                   0.0","                   0","                   0.0","                   0","                  -0"
"2025-01-06 02:45","2024","Afghanistan","Preparations of cereals, flour, starch or milk; pastrycooks' products","                  41.0","                 221","                   0.0","                   0","                 221"
"2025-01-06 02:45","2024","Afghanistan","Miscellaneous edible preparations","               1,109.0","               2,270","                   0.0","                   0","               2,270"
"2025-01-06 02:45","2024","Afghanistan","Beverages, spirits and vinegar","              12,822.0","              13,331","                   0.0","                   0","              13,331"
"2025-01-06 02:45","2024","Afghanistan","Salt; sulphur; earths and stone; plastering materials, lime and cement","                   0.0","                   0","               1,099.4","                 667","                -667"
"2025-01-06 02:45","2024","Afghanistan","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","                  44.0","                 201","                   0.0","                   0","                 201"
"2025-01-06 02:45","2024","Afghanistan","Organic chemicals","                 942.0","               1,389","                   0.0","                   0","               1,389"
"2025-01-06 02:45","2024","Afghanistan","Pharmaceutical products","                  17.2","               6,319","                   0.0","                   1","               6,319"
"2025-01-06 02:45","2024","Afghanistan","Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks","                  41.2","                 210","                   0.0","                   0","                 210"
"2025-01-06 02:45","2024","Afghanistan","Essential oils and resinoids; perfumery, cosmetic or toilet preparations","                   0.0","                   0","                   0.0","                   1","                  -1"
"2025-01-06 02:45","2024","Afghanistan","Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, “dental waxes” and dental preparation with a basis of plaster","                   0.0","                   0","                   0.0","                   0","                  -0"
"2025-01-06 02:45","2024","Afghanistan","Albuminoidal substances; modified starches; glues; enzymes","                   0.0","                   0","                   0.0","                   0","                  -0"
"2025-01-06 02:45","2024","Afghanistan","Miscellaneous chemical products","                  30.7","                 681","                   0.0","                   0","                 681"
"2025-01-06 02:45","2024","Afghanistan","Plastics and articles thereof","                  34.6","                  18","                   0.0","                   1","                  18"
"2025-01-06 02:45","2024","Afghanistan","Rubber and articles thereof","                 242.9","                  71","                   0.0","                   0","                  71"
"2025-01-06 02:45","2024","Afghanistan","Raw hides and skins (other than furskins) and leather","                  24.5","                  15","                   0.0","                   0","                  15"
"2025-01-06 02:45","2024","Afghanistan","Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)","                   0.0","                   0","                   0.0","                   1","                  -1"
"2025-01-06 02:45","2024","Afghanistan","Wood and articles of wood; wood charcoal","                   0.0","                   0","                   0.0","                   0","                  -0"
"2025-01-06 02:45","2024","Afghanistan","Pulp of wood or of other fibrous cellulosic materials; recovered (waste and scrap) paper or paperboard","               1,373.8","                 326","                   0.0","                   0","                 326"
"2025-01-06 02:45","2024","Afghanistan","Paper and paperboard; articles of paper pulp, of paper or of paperboard","                   0.1","                   0","                   0.0","                   0","                  -0"
"2025-01-06 02:45","2024","Afghanistan","Printed books, newspapers, picturesand other products of the printing industry; manuscripts, typescripts and plans","                   0.0","                   0","                   0.2","                   3","                  -3"
"2025-01-06 02:45","2024","Afghanistan","Man-made filaments; strip and the like of man-made textile materials","               1,154.0","               1,325","                   0.0","                   0","               1,325"
"2025-01-06 02:45","2024","Afghanistan","Man-made staple fibres","                   8.2","                  70","                   0.0","                   0","                  70"
"2025-01-06 02:45","2024","Afghanistan","Carpets and other textile floor coverings","                   0.0","                   0","                   0.1","                   4","                  -4"
"2025-01-06 02:45","2024","Afghanistan","Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery","                   0.0","                   0","                   0.1","                   0","                  -0"
"2025-01-06 02:45","2024","Afghanistan","Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use","                  89.6","                  99","                   0.0","                   0","                  99"
"2025-01-06 02:45","2024","Afghanistan","Knitted or crocheted fabrics","                 124.5","               1,099","                   0.0","                   0","               1,099"
"2025-01-06 02:45","2024","Afghanistan","Articles of apparel and clothing accessories, knitted or crocheted","                   0.0","                   0","                   0.1","                   9","                  -9"
"2025-01-06 02:45","2024","Afghanistan","Articles of apparel and clothing accessories, not knitted or crocheted","                   0.0","                   0","                   0.1","                  27","                 -27"
"2025-01-06 02:45","2024","Afghanistan","Other made up textile articles; sets; worn clothing and worn textile articles; rags","                   0.1","                   0","                   0.0","                   0","                  -0"
"2025-01-06 02:45","2024","Afghanistan","Footwear, gaiters and the like; parts of such articles","                   0.0","                   0","                   0.0","                   3","                  -3"
"2025-01-06 02:45","2024","Afghanistan","Headgear and parts thereof","                   0.0","                   0","                   0.0","                   0","                  -0"
"2025-01-06 02:45","2024","Afghanistan","Glass and glassware","                   0.0","                   0","                   0.0","                   1","                  -1"
"2025-01-06 02:45","2024","Afghanistan","Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin","                   0.0","                   0","                   0.0","                   1","                  -1"
"2025-01-06 02:45","2024","Afghanistan","Articles of iron or steel","                   6.8","                  18","                   0.0","                   0","                  18"
"2025-01-06 02:45","2024","Afghanistan","Aluminium and articles thereof","                   0.0","                   0","                   0.0","                   0","                  -0"
"2025-01-06 02:45","2024","Afghanistan","Other base metals; cermets; articles thereof","                   0.0","                   0","                   0.0","                   0","                  -0"
"2025-01-06 02:45","2024","Afghanistan","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","                   0.0","                   0","                   0.0","                   1","                  -1"
"2025-01-06 02:45","2024","Afghanistan","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","                 173.2","                 200","                   0.0","                   1","                 199"
"2025-01-06 02:45","2024","Afghanistan","Chapter 85 Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles","                  34.3","                  66","                   0.1","                   7","                  60"
"2025-01-06 02:45","2024","Afghanistan","Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof","               1,551.9","               1,553","                   0.0","                   2","               1,552"
"2025-01-06 02:45","2024","Afghanistan","Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof","                  14.3","                 792","                   0.0","                   2","                 790"
"2025-01-06 02:45","2024","Afghanistan","Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; luminaires and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings","                  51.9","                  10","                   0.0","                   0","                  10"
"2025-01-06 02:45","2024","Afghanistan","Toys, games and sports requisites; parts and accessories thereof","                  61.4","                  52","                   0.0","                   0","                  52"
"2025-01-06 02:45","2024","Afghanistan","Miscellanous manufactured articles","                   0.6","                   0","                   0.0","                   0","                   0"
"2025-01-06 02:45","2024","Aland Islands","Articles of apparel and clothing accessories, knitted or crocheted","                   0.0","                   0","                   0.0","                   5","                  -5"
"2025-01-06 02:45","2024","Aland Islands","Chapter 85 Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles","                   0.0","                   0","                   0.0","                   0","                  -0"
"2025-01-06 02:45","2024","Albania","Fish and crustaceans, molluscs and other aquatic invertebrates","                 125.2","                 360","                  50.1","                 990","                -630"
"2025-01-06 02:45","2024","Albania","Edible vegetables and certain roots and tubers","                   0.0","                   0","                   0.0","                   0","                  -0"
"2025-01-06 02:45","2024","Albania","Coffee, tea, mate and spices","                   0.1","                   1","                   0.0","                   0","                   1"
"2025-01-06 02:45","2024","Albania","Oil seeds and oleaginous fruits;miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder","                   0.3","                  56","                  11.4","                  96","                 -40"
"2025-01-06 02:45","2024","Albania","Vegetable plaiting materials; vegetable products not elsewhere specified or included","                   0.0","                   0","                   0.4","                   6","                  -6"
"2025-01-06 02:45","2024","Albania","Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes","                   0.0","                   0","                   0.0","                   0","                   0"
"2025-01-06 02:45","2024","Albania","Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or of insects","                   0.0","                   0","                  32.4","                 549","                -548"
"2025-01-06 02:45","2024","Albania","Sugars and sugar confectionery","                   0.0","                   0","                   0.0","                   0","                   0"
"2025-01-06 02:45","2024","Albania","Preparations of cereals, flour, starch or milk; pastrycooks' products","                   0.2","                   1","                   0.0","                   0","                   1"
"2025-01-06 02:45","2024","Albania","Preparations of vegetables, fruit, nuts or other parts of plants","                   0.1","                   2","                   0.0","                   0","                   2"
